"Play_id","pbp_sub_2015_team_game.PlayType","PlayType_Pred"
"2015122600 1 15 0","PASS","PASS"
"2015122600 1 14 32","RUSH","PASS"
"2015122600 1 14 6","PASS","PASS"
"2015122600 1 13 34","PASS","PASS"
"2015122600 1 9 12","PASS","PASS"
"2015122600 1 5 44","RUSH","PASS"
"2015122600 1 5 21","RUSH","PASS"
"2015122600 1 4 54","PASS","PASS"
"2015122600 1 1 0","PASS","PASS"
"2015122600 1 0 56","RUSH","PASS"
"2015122600 1 0 24","PASS","PASS"
"2015122600 1 0 8","RUSH","PASS"
"2015122600 2 12 0","PASS","PASS"
"2015122600 2 11 28","PASS","PASS"
"2015122600 2 10 57","PASS","PASS"
"2015122600 2 10 25","PASS","PASS"
"2015122600 2 4 15","PASS","PASS"
"2015122600 2 1 43","PASS","PASS"
"2015122600 2 1 39","PASS","PASS"
"2015122600 2 1 22","PASS","PASS"
"2015122600 2 1 12","PASS","PASS"
"2015122600 2 0 46","PASS","PASS"
"2015122600 3 12 12","PASS","PASS"
"2015122600 3 12 12","PASS","PASS"
"2015122600 3 11 50","PASS","PASS"
"2015122600 3 11 44","PASS","PASS"
"2015122600 3 6 47","PASS","PASS"
"2015122600 3 5 29","PASS","PASS"
"2015122600 3 4 1","PASS","PASS"
"2015122600 3 3 55","RUSH","PASS"
"2015122600 3 3 14","PASS","PASS"
"2015122600 3 2 58","PASS","PASS"
"2015122600 3 2 36","PASS","RUSH"
"2015122600 3 2 0","PASS","PASS"
"2015122600 3 1 56","PASS","PASS"
"2015122600 4 8 55","PASS","PASS"
"2015122600 4 8 7","PASS","PASS"
"2015122600 4 7 37","PASS","RUSH"
"2015122600 4 7 24","PASS","PASS"
"2015122600 4 7 2","PASS","PASS"
"2015122600 4 3 1","PASS","PASS"
"2015122600 4 2 56","PASS","PASS"
"2015122600 4 2 47","PASS","PASS"
"2015122600 4 2 43","PASS","PASS"
"2015122600 4 2 14","PASS","PASS"
"2015122600 1 11 8","RUSH","PASS"
"2015122600 1 10 45","RUSH","PASS"
"2015122600 1 10 9","RUSH","PASS"
"2015122600 2 8 11","RUSH","PASS"
"2015122600 2 7 43","PASS","PASS"
"2015122600 4 3 18","PASS","PASS"
"2015122600 1 13 0","PASS","PASS"
"2015122600 1 12 16","PASS","PASS"
"2015122600 1 12 10","RUSH","RUSH"
"2015122600 2 15 0","RUSH","PASS"
"2015122600 2 7 18","PASS","PASS"
"2015122600 2 6 44","PASS","PASS"
"2015122600 2 6 39","PASS","PASS"
"2015122600 2 6 6","PASS","PASS"
"2015122600 3 6 24","RUSH","PASS"
"2015122600 3 6 6","PASS","PASS"
"2015122600 3 5 34","PASS","PASS"
"2015122600 3 4 51","RUSH","PASS"
"2015122600 4 4 40","PASS","RUSH"
"2015122600 4 4 40","PASS","PASS"
"2015122600 4 2 0","PASS","PASS"
"2015122600 4 1 42","PASS","PASS"
"2015122600 4 1 37","PASS","PASS"
"2015122600 4 6 39","PASS","PASS"
"2015122600 4 6 24","PASS","PASS"
"2015122600 4 6 20","PASS","PASS"
"2015122600 4 5 54","PASS","PASS"
"2015122600 4 5 48","PASS","PASS"
